,group_label,stat_label,motion_label,representative_feature
blob_box_width_w_backward_IQR,13,IQR,backward,False
blob_box_width_w_forward_10th,23,10th,forward,False
blob_box_width_w_forward_50th,23,50th,forward,False
blob_box_width_w_forward_90th,13,90th,forward,False
blob_box_width_w_forward_IQR,13,IQR,forward,False
blob_box_width_w_paused_10th,23,10th,paused,False
blob_box_width_w_paused_50th,7,50th,paused,False
blob_box_width_w_paused_90th,7,90th,paused,False
blob_box_width_w_paused_IQR,7,IQR,paused,False
blob_compactness_10th,94,10th,none,False
blob_compactness_50th,94,50th,none,False
blob_compactness_90th,94,90th,none,False
blob_compactness_IQR,11,IQR,none,False
blob_compactness_w_backward_10th,94,10th,backward,False
blob_compactness_w_backward_50th,94,50th,backward,False
blob_compactness_w_backward_90th,94,90th,backward,False
blob_compactness_w_backward_IQR,13,IQR,backward,False
blob_compactness_w_forward_10th,94,10th,forward,False
blob_compactness_w_forward_50th,94,50th,forward,False
blob_compactness_w_forward_90th,94,90th,forward,False
blob_compactness_w_forward_IQR,11,IQR,forward,False
blob_compactness_w_paused_10th,94,10th,paused,False
blob_compactness_w_paused_50th,94,50th,paused,False
blob_compactness_w_paused_90th,13,90th,paused,False
blob_compactness_w_paused_IQR,13,IQR,paused,False
blob_hu0_10th,87,10th,none,False
blob_hu0_50th,71,50th,none,True
blob_hu0_90th,71,90th,none,False
blob_hu0_IQR,14,IQR,none,False
blob_hu0_w_backward_10th,87,10th,backward,False
blob_hu0_w_backward_50th,71,50th,backward,False
blob_hu0_w_backward_90th,71,90th,backward,False
blob_hu0_w_backward_IQR,14,IQR,backward,False
blob_hu0_w_forward_10th,87,10th,forward,False
blob_hu0_w_forward_50th,71,50th,forward,False
blob_hu0_w_forward_90th,71,90th,forward,False
blob_hu0_w_forward_IQR,14,IQR,forward,False
blob_hu0_w_paused_10th,87,10th,paused,False
blob_hu0_w_paused_50th,71,50th,paused,False
blob_hu0_w_paused_90th,71,90th,paused,False
blob_hu0_w_paused_IQR,14,IQR,paused,False
blob_hu1_10th,87,10th,none,False
blob_hu1_50th,71,50th,none,False
blob_hu1_90th,71,90th,none,False
blob_hu1_IQR,14,IQR,none,True
blob_hu1_w_backward_10th,87,10th,backward,False
blob_hu1_w_backward_50th,71,50th,backward,False
blob_hu1_w_backward_90th,71,90th,backward,False
blob_hu1_w_backward_IQR,14,IQR,backward,False
blob_hu1_w_forward_10th,87,10th,forward,False
blob_hu1_w_forward_50th,71,50th,forward,False
blob_hu1_w_forward_90th,71,90th,forward,False
blob_hu1_w_forward_IQR,14,IQR,forward,False
blob_hu1_w_paused_10th,87,10th,paused,False
blob_hu1_w_paused_50th,71,50th,paused,False
blob_hu1_w_paused_90th,71,90th,paused,False
blob_hu1_w_paused_IQR,14,IQR,paused,False
blob_hu2_10th,50,10th,none,False
blob_hu2_50th,71,50th,none,False
blob_hu2_90th,71,90th,none,False
blob_hu2_IQR,71,IQR,none,False
blob_hu2_w_backward_10th,50,10th,backward,False
blob_hu2_w_backward_50th,50,50th,backward,False
blob_hu2_w_backward_90th,20,90th,backward,False
blob_hu2_w_backward_IQR,20,IQR,backward,False
blob_hu2_w_forward_10th,52,10th,forward,False
blob_hu2_w_forward_50th,69,50th,forward,False
blob_hu2_w_forward_90th,69,90th,forward,False
blob_hu2_w_forward_IQR,69,IQR,forward,False
blob_hu2_w_paused_10th,56,10th,paused,False
blob_hu2_w_paused_50th,71,50th,paused,False
blob_hu2_w_paused_90th,22,90th,paused,False
blob_hu2_w_paused_IQR,22,IQR,paused,False
blob_hu3_10th,50,10th,none,False
blob_hu3_50th,71,50th,none,False
blob_hu3_90th,15,90th,none,True
blob_hu3_IQR,15,IQR,none,False
blob_hu3_w_backward_10th,50,10th,backward,False
blob_hu3_w_backward_50th,50,50th,backward,False
blob_hu3_w_backward_90th,20,90th,backward,False
blob_hu3_w_backward_IQR,20,IQR,backward,False
blob_hu3_w_forward_10th,52,10th,forward,False
blob_hu3_w_forward_50th,69,50th,forward,False
blob_hu3_w_forward_90th,69,90th,forward,False
blob_hu3_w_forward_IQR,69,IQR,forward,False
blob_hu3_w_paused_10th,56,10th,paused,True
blob_hu3_w_paused_50th,56,50th,paused,False
blob_hu3_w_paused_90th,22,90th,paused,False
blob_hu3_w_paused_IQR,22,IQR,paused,False
blob_hu4_10th,94,10th,none,False
blob_hu4_50th,15,50th,none,False
blob_hu4_90th,15,90th,none,False
blob_hu4_IQR,15,IQR,none,False
blob_hu4_w_backward_10th,94,10th,backward,False
blob_hu4_w_backward_50th,49,50th,backward,False
blob_hu4_w_backward_90th,20,90th,backward,False
blob_hu4_w_backward_IQR,20,IQR,backward,False
blob_hu4_w_forward_10th,94,10th,forward,False
blob_hu4_w_forward_50th,15,50th,forward,False
