imaging_plate_row,imaging_plate_column,well_name,imaging_plate_id,start_well,end_well,worm_strain,bacteria_strain,wormsorter_start_time,wormsorter_end_time,middle_wormsorter_time,cave_time,recording_time,media_type,number_worms_per_well,date_bleached_yyyymmdd,date_refed_yyyymmdd,days_in_diapause,cave_temp_oC,cave_humidity_percent,date_plates_poured_yyyymmdd,comments,start_row,end_row,start_column,end_column
E,4,E4,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
E,5,E5,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
E,6,E6,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
E,7,E7,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
E,8,E8,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
E,9,E9,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
E,10,E10,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
E,11,E11,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
E,12,E12,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
F,1,F1,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
F,2,F2,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
F,3,F3,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
F,4,F4,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
F,5,F5,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
F,6,F6,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
F,7,F7,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
F,8,F8,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
F,9,F9,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
F,10,F10,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
F,11,F11,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
F,12,F12,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
G,1,G1,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
G,2,G2,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
G,3,G3,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
G,4,G4,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
G,5,G5,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
G,6,G6,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
G,7,G7,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
G,8,G8,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
G,9,G9,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
G,10,G10,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
G,11,G11,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
G,12,G12,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
H,1,H1,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
H,2,H2,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
H,3,H3,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
H,4,H4,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
