source_slot,source_well,destination_slot,destination_well,volume
2,B4,4,B12,3
2,C4,4,C12,3
2,D4,4,D12,3
2,E4,4,E12,3
2,F4,4,F12,3
2,G4,4,G12,3
2,H4,4,H12,3
2,A5,4,A3,3
2,B5,4,B3,3
2,C5,4,C3,3
2,D5,4,D3,3
2,E5,4,E3,3
2,F5,4,F3,3
2,G5,4,G3,3
2,H5,4,H3,3
2,A6,4,A1,3
2,B6,4,B1,3
2,C6,4,C1,3
2,D6,4,D1,3
2,E6,4,E1,3
2,F6,4,F1,3
2,G6,4,G1,3
2,H6,4,H1,3
2,A7,4,A10,3
2,B7,4,B10,3
2,C7,4,C10,3
2,D7,4,D10,3
2,E7,4,E10,3
2,F7,4,F10,3
2,G7,4,G10,3
2,H7,4,H10,3
2,A8,4,A2,3
2,B8,4,B2,3
2,C8,4,C2,3
2,D8,4,D2,3
2,E8,4,E2,3
2,F8,4,F2,3
2,G8,4,G2,3
2,H8,4,H2,3
2,A9,4,A7,3
2,B9,4,B7,3
2,C9,4,C7,3
2,D9,4,D7,3
2,E9,4,E7,3
2,F9,4,F7,3
2,G9,4,G7,3
2,H9,4,H7,3
2,A10,4,A5,3
2,B10,4,B5,3
2,C10,4,C5,3
2,D10,4,D5,3
2,E10,4,E5,3
2,F10,4,F5,3
2,G10,4,G5,3
2,H10,4,H5,3
2,A11,4,A9,3
2,B11,4,B9,3
2,C11,4,C9,3
2,D11,4,D9,3
2,E11,4,E9,3
2,F11,4,F9,3
2,G11,4,G9,3
2,H11,4,H9,3
2,A12,4,A11,3
2,B12,4,B11,3
2,C12,4,C11,3
2,D12,4,D11,3
2,E12,4,E11,3
2,F12,4,F11,3
2,G12,4,G11,3
2,H12,4,H11,3
9,A1,7,A8,5
9,B1,7,B8,5
9,C1,7,C8,5
9,D1,7,D8,5
9,E1,7,E8,5
9,F1,7,F8,5
9,G1,7,G8,5
9,H1,7,H8,5
9,A1,7,A12,5
9,B1,7,B12,5
9,C1,7,C12,5
9,D1,7,D12,5
9,E1,7,E12,5
9,F1,7,F12,5
9,G1,7,G12,5
9,H1,7,H12,5
9,A1,7,A10,5
9,B1,7,B10,5
9,C1,7,C10,5
9,D1,7,D10,5
9,E1,7,E10,5
9,F1,7,F10,5
9,G1,7,G10,5
9,H1,7,H10,5
9,A1,7,A3,5
9,B1,7,B3,5
9,C1,7,C3,5
9,D1,7,D3,5
9,E1,7,E3,5
9,F1,7,F3,5
9,G1,7,G3,5
9,H1,7,H3,5
9,A1,7,A4,5
9,B1,7,B4,5
9,C1,7,C4,5
9,D1,7,D4,5
9,E1,7,E4,5
9,F1,7,F4,5
9,G1,7,G4,5
9,H1,7,H4,5
9,A1,7,A11,5
9,B1,7,B11,5
9,C1,7,C11,5
9,D1,7,D11,5
9,E1,7,E11,5
9,F1,7,F11,5
9,G1,7,G11,5
9,H1,7,H11,5
9,A1,7,A6,5
9,B1,7,B6,5
9,C1,7,C6,5
9,D1,7,D6,5
9,E1,7,E6,5
9,F1,7,F6,5
9,G1,7,G6,5
9,H1,7,H6,5
9,A1,7,A7,5
9,B1,7,B7,5
9,C1,7,C7,5
9,D1,7,D7,5
9,E1,7,E7,5
9,F1,7,F7,5
9,G1,7,G7,5
9,H1,7,H7,5
9,A1,7,A2,5
9,B1,7,B2,5
9,C1,7,C2,5
9,D1,7,D2,5
9,E1,7,E2,5
9,F1,7,F2,5
9,G1,7,G2,5
9,H1,7,H2,5
9,A1,7,A5,5
9,B1,7,B5,5
9,C1,7,C5,5
9,D1,7,D5,5
9,E1,7,E5,5
9,F1,7,F5,5
9,G1,7,G5,5
9,H1,7,H5,5
9,A1,7,A9,5
9,B1,7,B9,5
9,C1,7,C9,5
9,D1,7,D9,5
9,E1,7,E9,5
9,F1,7,F9,5
9,G1,7,G9,5
9,H1,7,H9,5
9,A1,7,A1,5
9,B1,7,B1,5
9,C1,7,C1,5
9,D1,7,D1,5
9,E1,7,E1,5
9,F1,7,F1,5
9,G1,7,G1,5
9,H1,7,H1,5
2,A1,7,A8,3
2,B1,7,B8,3
2,C1,7,C8,3
2,D1,7,D8,3
2,E1,7,E8,3
2,F1,7,F8,3
2,G1,7,G8,3
2,H1,7,H8,3
2,A2,7,A12,3
2,B2,7,B12,3
2,C2,7,C12,3
2,D2,7,D12,3
2,E2,7,E12,3
2,F2,7,F12,3
2,G2,7,G12,3
2,H2,7,H12,3
2,A3,7,A10,3
2,B3,7,B10,3
2,C3,7,C10,3
2,D3,7,D10,3
2,E3,7,E10,3
2,F3,7,F10,3
2,G3,7,G10,3
2,H3,7,H10,3
2,A4,7,A3,3
2,B4,7,B3,3
2,C4,7,C3,3
2,D4,7,D3,3
2,E4,7,E3,3
2,F4,7,F3,3
2,G4,7,G3,3
2,H4,7,H3,3
2,A5,7,A4,3
2,B5,7,B4,3
2,C5,7,C4,3
2,D5,7,D4,3
2,E5,7,E4,3
2,F5,7,F4,3
2,G5,7,G4,3
2,H5,7,H4,3
2,A6,7,A11,3
2,B6,7,B11,3
2,C6,7,C11,3
2,D6,7,D11,3
2,E6,7,E11,3
2,F6,7,F11,3
2,G6,7,G11,3
2,H6,7,H11,3
2,A7,7,A6,3
2,B7,7,B6,3
2,C7,7,C6,3
2,D7,7,D6,3
2,E7,7,E6,3
2,F7,7,F6,3
2,G7,7,G6,3
2,H7,7,H6,3
2,A8,7,A7,3
2,B8,7,B7,3
2,C8,7,C7,3
2,D8,7,D7,3
2,E8,7,E7,3
2,F8,7,F7,3
2,G8,7,G7,3
2,H8,7,H7,3
2,A9,7,A2,3
2,B9,7,B2,3
2,C9,7,C2,3
2,D9,7,D2,3
2,E9,7,E2,3
2,F9,7,F2,3
2,G9,7,G2,3
2,H9,7,H2,3
2,A10,7,A5,3
2,B10,7,B5,3
2,C10,7,C5,3
2,D10,7,D5,3
2,E10,7,E5,3
2,F10,7,F5,3
2,G10,7,G5,3
2,H10,7,H5,3
