masked_video,run_number,wells_checked
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run2_prestim_20191213_145522.22956833/metadata.hdf5,2,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run2_prestim_20191213_145522.22956819/metadata.hdf5,2,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run2_prestim_20191213_145522.22956840/metadata.hdf5,2,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run2_prestim_20191213_145522.22956827/metadata.hdf5,2,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run2_prestim_20191213_145723.22594546/metadata.hdf5,2,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run2_prestim_20191213_145723.22594547/metadata.hdf5,2,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run2_prestim_20191213_145723.22436248/metadata.hdf5,2,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run2_prestim_20191213_145723.22594549/metadata.hdf5,2,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run2_prestim_20191213_145723.22594548/metadata.hdf5,2,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run2_prestim_20191213_145723.22594559/metadata.hdf5,2,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run3_prestim_20191213_152325.22956809/metadata.hdf5,3,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run3_prestim_20191213_152325.22956834/metadata.hdf5,3,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run3_prestim_20191213_152325.22956812/metadata.hdf5,3,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run3_prestim_20191213_152325.22956831/metadata.hdf5,3,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run3_prestim_20191213_152325.22956811/metadata.hdf5,3,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run3_prestim_20191213_152325.22956817/metadata.hdf5,3,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run3_prestim_20191213_152408.22956806/metadata.hdf5,3,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run3_prestim_20191213_152408.22956837/metadata.hdf5,3,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run3_prestim_20191213_152408.22956829/metadata.hdf5,3,TRUE
